Date,Price,Vol.,Change %,SMA_30,EMA_30,month,quarter,day_of_week
2023-05-04,103.87,40.0,-0.015300000000000001,118.82933333333334,117.0071128069593,5,2,3
2023-05-05,103.55,40.0,-0.0031,118.05900000000001,116.13891198070387,5,2,4
2023-05-08,107.4,40.0,0.037200000000000004,117.43866666666666,115.57511120775524,5,2,0
2023-05-09,106.05,40.0,-0.0126,116.77333333333333,114.96058790402911,5,2,1
2023-05-10,106.85,40.0,0.0075,116.13466666666666,114.4373241682853,5,2,2
2023-05-11,104.8,40.0,-0.0192,115.42766666666667,113.81556131871852,5,2,3
2023-05-12,105.16,40.0,0.0034000000000000002,114.73266666666667,113.25713800783346,5,2,4
2023-05-15,106.77,40.0,0.015300000000000001,114.05633333333334,112.83861297507002,5,2,0
2023-05-16,106.84,40.0,0.0007000000000000001,113.54466666666667,112.45160568635583,5,2,1
2023-05-17,107.38,40.0,0.0051,113.116,112.12440531949417,5,2,2
2023-05-18,107.27,40.0,-0.001,112.70266666666667,111.81121787952681,5,2,3
2023-05-19,107.1,40.0,-0.0016,112.30066666666667,111.50726833891218,5,2,4
2023-05-22,107.16,40.0,0.0006,111.881,111.22679941382107,5,2,0
2023-05-23,106.54,40.0,-0.0058,111.39733333333334,110.92442525809068,5,2,1
2023-05-24,105.56,40.0,-0.0092,110.89933333333333,110.57833330595581,5,2,2
2023-05-25,105.6,40.0,0.0004,110.422,110.25715051202319,5,2,3
2023-05-26,105.41,40.0,-0.0018,109.96533333333333,109.94443112415073,5,2,4
2023-05-30,105.2,40.0,-0.002,109.47166666666666,109.63833879356035,5,2,1
2023-05-31,105.07,40.0,-0.0012,108.96266666666666,109.34360725849194,5,2,2
2023-06-01,104.5,40.0,-0.0054,108.43733333333333,109.0311164676215,6,2,3
2023-06-02,106.33,40.0,0.0175,108.00466666666667,108.85685088906529,6,2,4
2023-06-05,107.38,40.0,0.009899999999999999,107.67699999999999,108.76157018654494,6,2,0
2023-06-06,108.59,40.0,0.0113,107.40466666666666,108.75050114225172,6,2,1
2023-06-07,109.18,40.0,0.0054,107.12400000000001,108.77821074597743,6,2,2
2023-06-08,111.43,40.0,0.0206,106.94800000000001,108.94929392365631,6,2,3
